chain1                                            chain2                                            chain3                                            chain4                                            chain5                                            chain6                                            chain7                                            
00011000001000000111111101010100110000000         00001100000100000011111110101010011000000         10000110000010000001111111010101001100000         01000011000001000000111111101010100100000         10100001100000100000011111110101010000000         01010000110000010000001111111010101000000         00110000010000001111111010101001100100000         
11101110100101100011011110110101101100000         01110111010010110001101111011010110100000         00111011101001011000110111101101011000000         10011101110100101100011011110110101100000         11001110111010010110001101111011010100000         01100111011101001011000110111101101000000         11011101001011000110111101101011011000000         
00100100011100001011111001010111001100000         10010010001110000101111100101011100100000         11001001000111000010111110010101110000000         01100100100011100001011111001010111000000         10110010010001110000101111100101011100000         11011001001000111000010111110010101100000         01001000111000010111110010101110011000000         
01000100111100010100001100000100000000000         10100010011110001010000110000010000000000         11010001001111000101000011000001000000000         01101000100111100010100001100000100000000         00110100010011110001010000110000010000000         10011010001001111000101000011000001000000         10001001111000101000011000001000000100000         
11111110101010011001110111010010110000000         01111111010101001100111011101001011000000         00111111101010100110011101110100101100000         00011111110101010011001110111010010100000         00001111111010101001100111011101001000000         00000111111101010100110011101110100100000         11111101010100110011101110100101100000000         
01101111011010110110010010001110000100000         00110111101101011011001001000111000000000         00011011110110101101100100100011100000000         10001101111011010110110010010001110000000         11000110111101101011011001001000111000000         01100011011110110101101100100100011100000         11011110110101101100100100011100001000000         
01111100101011100110100010011110001000000         10111110010101110011010001001111000100000         01011111001010111001101000100111100000000         00101111100101011100110100010011110000000         00010111110010101110011010001001111000000         00001011111001010111001101000100111100000         11111001010111001101000100111100010100000         
10000110000010000001111111010101001100000         01000011000001000000111111101010100100000         10100001100000100000011111110101010000000         01010000110000010000001111111010101000000         00101000011000001000000111111101010100000         00010100001100000100000011111110101000000         00001100000100000011111110101010011000000         
00111011101001011000110111101101011000000         10011101110100101100011011110110101100000         11001110111010010110001101111011010100000         01100111011101001011000110111101101000000         00110011101110100101100011011110110100000         10011001110111010010110001101111011000000         01110111010010110001101111011010110100000         
11001001000111000010111110010101110000000         01100100100011100001011111001010111000000         10110010010001110000101111100101011100000         11011001001000111000010111110010101100000         01101100100100011100001011111001010100000         10110110010010001110000101111100101000000         10010010001110000101111100101011100100000         
11010001001111000101000011000001000000000         01101000100111100010100001100000100000000         00110100010011110001010000110000010000000         10011010001001111000101000011000001000000         11001101000100111100010100001100000100000         11100110100010011110001010000110000000000         10100010011110001010000110000010000000000         
00111111101010100110011101110100101100000         00011111110101010011001110111010010100000         00001111111010101001100111011101001000000         00000111111101010100110011101110100100000         00000011111110101010011001110111010000000         10000001111111010101001100111011101000000         01111111010101001100111011101001011000000         
00011011110110101101100100100011100000000         10001101111011010110110010010001110000000         11000110111101101011011001001000111000000         01100011011110110101101100100100011100000         10110001101111011010110110010010001100000         01011000110111101101011011001001000100000         00110111101101011011001001000111000000000         
01011111001010111001101000100111100000000         00101111100101011100110100010011110000000         00010111110010101110011010001001111000000         00001011111001010111001101000100111100000         10000101111100101011100110100010011100000         11000010111110010101110011010001001100000         10111110010101110011010001001111000100000         
10100001100000100000011111110101010000000         01010000110000010000001111111010101000000         00101000011000001000000111111101010100000         00010100001100000100000011111110101000000         10001010000110000010000001111111010100000         11000101000011000001000000111111101000000         01000011000001000000111111101010100100000         
11001110111010010110001101111011010100000         01100111011101001011000110111101101000000         00110011101110100101100011011110110100000         10011001110111010010110001101111011000000         01001100111011101001011000110111101100000         10100110011101110100101100011011110100000         10011101110100101100011011110110101100000         
10110010010001110000101111100101011100000         11011001001000111000010111110010101100000         01101100100100011100001011111001010100000         10110110010010001110000101111100101000000         01011011001001000111000010111110010100000         10101101100100100011100001011111001000000         01100100100011100001011111001010111000000         
00110100010011110001010000110000010000000         10011010001001111000101000011000001000000         11001101000100111100010100001100000100000         11100110100010011110001010000110000000000         01110011010001001111000101000011000000000         10111001101000100111100010100001100000000         01101000100111100010100001100000100000000         
00001111111010101001100111011101001000000         00000111111101010100110011101110100100000         00000011111110101010011001110111010000000         10000001111111010101001100111011101000000         01000000111111101010100110011101110100000         00100000011111110101010011001110111000000         00011111110101010011001110111010010100000         
11000110111101101011011001001000111000000         01100011011110110101101100100100011100000         10110001101111011010110110010010001100000         01011000110111101101011011001001000100000         00101100011011110110101101100100100000000         10010110001101111011010110110010010000000         10001101111011010110110010010001110000000         
00010111110010101110011010001001111000000         00001011111001010111001101000100111100000         10000101111100101011100110100010011100000         11000010111110010101110011010001001100000         11100001011111001010111001101000100100000         01110000101111100101011100110100010000000         00101111100101011100110100010011110000000         
00101000011000001000000111111101010100000         00010100001100000100000011111110101000000         10001010000110000010000001111111010100000         11000101000011000001000000111111101000000         11100010100001100000100000011111110100000         11110001010000110000010000001111111000000         01010000110000010000001111111010101000000         
00110011101110100101100011011110110100000         10011001110111010010110001101111011000000         01001100111011101001011000110111101100000         10100110011101110100101100011011110100000         01010011001110111010010110001101111000000         10101001100111011101001011000110111100000         01100111011101001011000110111101101000000         
01101100100100011100001011111001010100000         10110110010010001110000101111100101000000         01011011001001000111000010111110010100000         10101101100100100011100001011111001000000         11010110110010010001110000101111100100000         01101011011001001000111000010111110000000         11011001001000111000010111110010101100000         
11001101000100111100010100001100000100000         11100110100010011110001010000110000000000         01110011010001001111000101000011000000000         10111001101000100111100010100001100000000         01011100110100010011110001010000110000000         10101110011010001001111000101000011000000         10011010001001111000101000011000001000000         
00000011111110101010011001110111010000000         10000001111111010101001100111011101000000         01000000111111101010100110011101110100000         00100000011111110101010011001110111000000         00010000001111111010101001100111011100000         00001000000111111101010100110011101100000         00000111111101010100110011101110100100000         
10110001101111011010110110010010001100000         01011000110111101101011011001001000100000         00101100011011110110101101100100100000000         10010110001101111011010110110010010000000         01001011000110111101101011011001001000000         10100101100011011110110101101100100100000         01100011011110110101101100100100011100000         
10000101111100101011100110100010011100000         11000010111110010101110011010001001100000         11100001011111001010111001101000100100000         01110000101111100101011100110100010000000         00111000010111110010101110011010001000000         00011100001011111001010111001101000100000         00001011111001010111001101000100111100000         
10001010000110000010000001111111010100000         11000101000011000001000000111111101000000         11100010100001100000100000011111110100000         11110001010000110000010000001111111000000         01111000101000011000001000000111111100000         00111100010100001100000100000011111100000         00010100001100000100000011111110101000000         
01001100111011101001011000110111101100000         10100110011101110100101100011011110100000         01010011001110111010010110001101111000000         10101001100111011101001011000110111100000         01010100110011101110100101100011011100000         10101010011001110111010010110001101100000         10011001110111010010110001101111011000000         
01011011001001000111000010111110010100000         10101101100100100011100001011111001000000         11010110110010010001110000101111100100000         01101011011001001000111000010111110000000         10110101101100100100011100001011111000000         11011010110110010010001110000101111100000         10110110010010001110000101111100101000000         
01110011010001001111000101000011000000000         10111001101000100111100010100001100000000         01011100110100010011110001010000110000000         10101110011010001001111000101000011000000         01010111001101000100111100010100001100000         00101011100110100010011110001010000100000         11100110100010011110001010000110000000000         
01000000111111101010100110011101110100000         00100000011111110101010011001110111000000         00010000001111111010101001100111011100000         00001000000111111101010100110011101100000         00000100000011111110101010011001110100000         10000010000001111111010101001100111000000         10000001111111010101001100111011101000000         
00101100011011110110101101100100100000000         10010110001101111011010110110010010000000         01001011000110111101101011011001001000000         10100101100011011110110101101100100100000         11010010110001101111011010110110010000000         11101001011000110111101101011011001000000         01011000110111101101011011001001000100000         
11100001011111001010111001101000100100000         01110000101111100101011100110100010000000         00111000010111110010101110011010001000000         00011100001011111001010111001101000100000         10001110000101111100101011100110100000000         01000111000010111110010101110011010000000         11000010111110010101110011010001001100000         
11100010100001100000100000011111110100000         11110001010000110000010000001111111000000         01111000101000011000001000000111111100000         00111100010100001100000100000011111100000         10011110001010000110000010000001111100000         01001111000101000011000001000000111100000         11000101000011000001000000111111101000000         
01010011001110111010010110001101111000000         10101001100111011101001011000110111100000         01010100110011101110100101100011011100000         10101010011001110111010010110001101100000         11010101001100111011101001011000110100000         11101010100110011101110100101100011000000         10100110011101110100101100011011110100000         
11010110110010010001110000101111100100000         01101011011001001000111000010111110000000         10110101101100100100011100001011111000000         11011010110110010010001110000101111100000         11101101011011001001000111000010111100000         11110110101101100100100011100001011100000         10101101100100100011100001011111001000000         
01011100110100010011110001010000110000000         10101110011010001001111000101000011000000         01010111001101000100111100010100001100000         00101011100110100010011110001010000100000         10010101110011010001001111000101000000000         11001010111001101000100111100010100000000         10111001101000100111100010100001100000000         
00010000001111111010101001100111011100000         00001000000111111101010100110011101100000         00000100000011111110101010011001110100000         10000010000001111111010101001100111000000         11000001000000111111101010100110011100000         01100000100000011111110101010011001100000         00100000011111110101010011001110111000000         
01001011000110111101101011011001001000000         10100101100011011110110101101100100100000         11010010110001101111011010110110010000000         11101001011000110111101101011011001000000         01110100101100011011110110101101100100000         10111010010110001101111011010110110000000         10010110001101111011010110110010010000000         
00111000010111110010101110011010001000000         00011100001011111001010111001101000100000         10001110000101111100101011100110100000000         01000111000010111110010101110011010000000         00100011100001011111001010111001101000000         10010001110000101111100101011100110100000         01110000101111100101011100110100010000000         
01111000101000011000001000000111111100000         00111100010100001100000100000011111100000         10011110001010000110000010000001111100000         01001111000101000011000001000000111100000         00100111100010100001100000100000011100000         00010011110001010000110000010000001100000         11110001010000110000010000001111111000000         
01010100110011101110100101100011011100000         10101010011001110111010010110001101100000         11010101001100111011101001011000110100000         11101010100110011101110100101100011000000         11110101010011001110111010010110001100000         11111010101001100111011101001011000100000         10101001100111011101001011000110111100000         
10110101101100100100011100001011111000000         11011010110110010010001110000101111100000         11101101011011001001000111000010111100000         11110110101101100100100011100001011100000         01111011010110110010010001110000101100000         10111101101011011001001000111000010100000         01101011011001001000111000010111110000000         
01010111001101000100111100010100001100000         00101011100110100010011110001010000100000         10010101110011010001001111000101000000000         11001010111001101000100111100010100000000         11100101011100110100010011110001010000000         11110010101110011010001001111000101000000         10101110011010001001111000101000011000000         
00000100000011111110101010011001110100000         10000010000001111111010101001100111000000         11000001000000111111101010100110011100000         01100000100000011111110101010011001100000         00110000010000001111111010101001100100000         00011000001000000111111101010100110000000         00001000000111111101010100110011101100000         
11010010110001101111011010110110010000000         11101001011000110111101101011011001000000         01110100101100011011110110101101100100000         10111010010110001101111011010110110000000         11011101001011000110111101101011011000000         11101110100101100011011110110101101100000         10100101100011011110110101101100100100000         
10001110000101111100101011100110100000000         01000111000010111110010101110011010000000         00100011100001011111001010111001101000000         10010001110000101111100101011100110100000         01001000111000010111110010101110011000000         00100100011100001011111001010111001100000         00011100001011111001010111001101000100000         
10011110001010000110000010000001111100000         01001111000101000011000001000000111100000         00100111100010100001100000100000011100000         00010011110001010000110000010000001100000         10001001111000101000011000001000000100000         01000100111100010100001100000100000000000         00111100010100001100000100000011111100000         
11010101001100111011101001011000110100000         11101010100110011101110100101100011000000         11110101010011001110111010010110001100000         11111010101001100111011101001011000100000         11111101010100110011101110100101100000000         11111110101010011001110111010010110000000         10101010011001110111010010110001101100000         
11101101011011001001000111000010111100000         11110110101101100100100011100001011100000         01111011010110110010010001110000101100000         10111101101011011001001000111000010100000         11011110110101101100100100011100001000000         01101111011010110110010010001110000100000         11011010110110010010001110000101111100000         
10010101110011010001001111000101000000000         11001010111001101000100111100010100000000         11100101011100110100010011110001010000000         11110010101110011010001001111000101000000         11111001010111001101000100111100010100000         01111100101011100110100010011110001000000         00101011100110100010011110001010000100000         
11000001000000111111101010100110011100000         01100000100000011111110101010011001100000         00110000010000001111111010101001100100000         00011000001000000111111101010100110000000         00001100000100000011111110101010011000000         10000110000010000001111111010101001100000         10000010000001111111010101001100111000000         
01110100101100011011110110101101100100000         10111010010110001101111011010110110000000         11011101001011000110111101101011011000000         11101110100101100011011110110101101100000         01110111010010110001101111011010110100000         00111011101001011000110111101101011000000         11101001011000110111101101011011001000000         
00100011100001011111001010111001101000000         10010001110000101111100101011100110100000         01001000111000010111110010101110011000000         00100100011100001011111001010111001100000         10010010001110000101111100101011100100000         11001001000111000010111110010101110000000         01000111000010111110010101110011010000000         
00100111100010100001100000100000011100000         00010011110001010000110000010000001100000         10001001111000101000011000001000000100000         01000100111100010100001100000100000000000         10100010011110001010000110000010000000000         11010001001111000101000011000001000000000         01001111000101000011000001000000111100000         
11110101010011001110111010010110001100000         11111010101001100111011101001011000100000         11111101010100110011101110100101100000000         11111110101010011001110111010010110000000         01111111010101001100111011101001011000000         00111111101010100110011101110100101100000         11101010100110011101110100101100011000000         
01111011010110110010010001110000101100000         10111101101011011001001000111000010100000         11011110110101101100100100011100001000000         01101111011010110110010010001110000100000         00110111101101011011001001000111000000000         00011011110110101101100100100011100000000         11110110101101100100100011100001011100000         
11100101011100110100010011110001010000000         11110010101110011010001001111000101000000         11111001010111001101000100111100010100000         01111100101011100110100010011110001000000         10111110010101110011010001001111000100000         01011111001010111001101000100111100000000         11001010111001101000100111100010100000000         
00110000010000001111111010101001100100000         00011000001000000111111101010100110000000         00001100000100000011111110101010011000000         10000110000010000001111111010101001100000         01000011000001000000111111101010100100000         10100001100000100000011111110101010000000         01100000100000011111110101010011001100000         
11011101001011000110111101101011011000000         11101110100101100011011110110101101100000         01110111010010110001101111011010110100000         00111011101001011000110111101101011000000         10011101110100101100011011110110101100000         11001110111010010110001101111011010100000         10111010010110001101111011010110110000000         
01001000111000010111110010101110011000000         00100100011100001011111001010111001100000         10010010001110000101111100101011100100000         11001001000111000010111110010101110000000         01100100100011100001011111001010111000000         10110010010001110000101111100101011100000         10010001110000101111100101011100110100000         
10001001111000101000011000001000000100000         01000100111100010100001100000100000000000         10100010011110001010000110000010000000000         11010001001111000101000011000001000000000         01101000100111100010100001100000100000000         00110100010011110001010000110000010000000         00010011110001010000110000010000001100000         
11111101010100110011101110100101100000000         11111110101010011001110111010010110000000         01111111010101001100111011101001011000000         00111111101010100110011101110100101100000         00011111110101010011001110111010010100000         00001111111010101001100111011101001000000         11111010101001100111011101001011000100000         
11011110110101101100100100011100001000000         01101111011010110110010010001110000100000         00110111101101011011001001000111000000000         00011011110110101101100100100011100000000         10001101111011010110110010010001110000000         11000110111101101011011001001000111000000         10111101101011011001001000111000010100000         
11111001010111001101000100111100010100000         01111100101011100110100010011110001000000         10111110010101110011010001001111000100000         01011111001010111001101000100111100000000         00101111100101011100110100010011110000000         00010111110010101110011010001001111000000         11110010101110011010001001111000101000000         
00001100000100000011111110101010011000000         10000110000010000001111111010101001100000         01000011000001000000111111101010100100000         10100001100000100000011111110101010000000         01010000110000010000001111111010101000000         00101000011000001000000111111101010100000         00011000001000000111111101010100110000000         
01110111010010110001101111011010110100000         00111011101001011000110111101101011000000         10011101110100101100011011110110101100000         11001110111010010110001101111011010100000         01100111011101001011000110111101101000000         00110011101110100101100011011110110100000         11101110100101100011011110110101101100000         
10010010001110000101111100101011100100000         11001001000111000010111110010101110000000         01100100100011100001011111001010111000000         10110010010001110000101111100101011100000         11011001001000111000010111110010101100000         01101100100100011100001011111001010100000         00100100011100001011111001010111001100000         
10100010011110001010000110000010000000000         11010001001111000101000011000001000000000         01101000100111100010100001100000100000000         00110100010011110001010000110000010000000         10011010001001111000101000011000001000000         11001101000100111100010100001100000100000         01000100111100010100001100000100000000000         
01111111010101001100111011101001011000000         00111111101010100110011101110100101100000         00011111110101010011001110111010010100000         00001111111010101001100111011101001000000         00000111111101010100110011101110100100000         00000011111110101010011001110111010000000         11111110101010011001110111010010110000000         
00110111101101011011001001000111000000000         00011011110110101101100100100011100000000         10001101111011010110110010010001110000000         11000110111101101011011001001000111000000         01100011011110110101101100100100011100000         10110001101111011010110110010010001100000         01101111011010110110010010001110000100000         
10111110010101110011010001001111000100000         01011111001010111001101000100111100000000         00101111100101011100110100010011110000000         00010111110010101110011010001001111000000         00001011111001010111001101000100111100000         10000101111100101011100110100010011100000         01111100101011100110100010011110001000000         
01000011000001000000111111101010100100000         10100001100000100000011111110101010000000         01010000110000010000001111111010101000000         00101000011000001000000111111101010100000         00010100001100000100000011111110101000000         10001010000110000010000001111111010100000         10000110000010000001111111010101001100000         
10011101110100101100011011110110101100000         11001110111010010110001101111011010100000         01100111011101001011000110111101101000000         00110011101110100101100011011110110100000         10011001110111010010110001101111011000000         01001100111011101001011000110111101100000         00111011101001011000110111101101011000000         
01100100100011100001011111001010111000000         10110010010001110000101111100101011100000         11011001001000111000010111110010101100000         01101100100100011100001011111001010100000         10110110010010001110000101111100101000000         01011011001001000111000010111110010100000         11001001000111000010111110010101110000000         
01101000100111100010100001100000100000000         00110100010011110001010000110000010000000         10011010001001111000101000011000001000000         11001101000100111100010100001100000100000         11100110100010011110001010000110000000000         01110011010001001111000101000011000000000         11010001001111000101000011000001000000000         
00011111110101010011001110111010010100000         00001111111010101001100111011101001000000         00000111111101010100110011101110100100000         00000011111110101010011001110111010000000         10000001111111010101001100111011101000000         01000000111111101010100110011101110100000         00111111101010100110011101110100101100000         
10001101111011010110110010010001110000000         11000110111101101011011001001000111000000         01100011011110110101101100100100011100000         10110001101111011010110110010010001100000         01011000110111101101011011001001000100000         00101100011011110110101101100100100000000         00011011110110101101100100100011100000000         
00101111100101011100110100010011110000000         00010111110010101110011010001001111000000         00001011111001010111001101000100111100000         10000101111100101011100110100010011100000         11000010111110010101110011010001001100000         11100001011111001010111001101000100100000         01011111001010111001101000100111100000000         
01010000110000010000001111111010101000000         00101000011000001000000111111101010100000         00010100001100000100000011111110101000000         10001010000110000010000001111111010100000         11000101000011000001000000111111101000000         11100010100001100000100000011111110100000         10100001100000100000011111110101010000000         
01100111011101001011000110111101101000000         00110011101110100101100011011110110100000         10011001110111010010110001101111011000000         01001100111011101001011000110111101100000         10100110011101110100101100011011110100000         01010011001110111010010110001101111000000         11001110111010010110001101111011010100000         
11011001001000111000010111110010101100000         01101100100100011100001011111001010100000         10110110010010001110000101111100101000000         01011011001001000111000010111110010100000         10101101100100100011100001011111001000000         11010110110010010001110000101111100100000         10110010010001110000101111100101011100000         
10011010001001111000101000011000001000000         11001101000100111100010100001100000100000         11100110100010011110001010000110000000000         01110011010001001111000101000011000000000         10111001101000100111100010100001100000000         01011100110100010011110001010000110000000         00110100010011110001010000110000010000000         
00000111111101010100110011101110100100000         00000011111110101010011001110111010000000         10000001111111010101001100111011101000000         01000000111111101010100110011101110100000         00100000011111110101010011001110111000000         00010000001111111010101001100111011100000         00001111111010101001100111011101001000000         
01100011011110110101101100100100011100000         10110001101111011010110110010010001100000         01011000110111101101011011001001000100000         00101100011011110110101101100100100000000         10010110001101111011010110110010010000000         01001011000110111101101011011001001000000         11000110111101101011011001001000111000000         
00001011111001010111001101000100111100000         10000101111100101011100110100010011100000         11000010111110010101110011010001001100000         11100001011111001010111001101000100100000         01110000101111100101011100110100010000000         00111000010111110010101110011010001000000         00010111110010101110011010001001111000000         
00010100001100000100000011111110101000000         10001010000110000010000001111111010100000         11000101000011000001000000111111101000000         11100010100001100000100000011111110100000         11110001010000110000010000001111111000000         01111000101000011000001000000111111100000         00101000011000001000000111111101010100000         
10011001110111010010110001101111011000000         01001100111011101001011000110111101100000         10100110011101110100101100011011110100000         01010011001110111010010110001101111000000         10101001100111011101001011000110111100000         01010100110011101110100101100011011100000         00110011101110100101100011011110110100000         
10110110010010001110000101111100101000000         01011011001001000111000010111110010100000         10101101100100100011100001011111001000000         11010110110010010001110000101111100100000         01101011011001001000111000010111110000000         10110101101100100100011100001011111000000         01101100100100011100001011111001010100000         
11100110100010011110001010000110000000000         01110011010001001111000101000011000000000         10111001101000100111100010100001100000000         01011100110100010011110001010000110000000         10101110011010001001111000101000011000000         01010111001101000100111100010100001100000         11001101000100111100010100001100000100000         
